scene,category,episode_id
Collierville,chair,12
Collierville,chair,2
Collierville,chair,20
Collierville,chair,3
Collierville,chair,50
Collierville,couch,13
Collierville,couch,17
Collierville,couch,21
Collierville,couch,27
Collierville,couch,6
Collierville,potted plant,16
Collierville,potted plant,19
Collierville,potted plant,24
Collierville,potted plant,26
Collierville,potted plant,7
Collierville,toilet,0
Collierville,toilet,1
Collierville,toilet,10
Collierville,toilet,23
Collierville,toilet,8
Collierville,tv,11
Collierville,tv,14
Collierville,tv,4
Collierville,tv,5
Collierville,tv,9
Corozal,bed,0
Corozal,bed,13
Corozal,bed,16
Corozal,bed,24
Corozal,bed,33
Corozal,chair,15
Corozal,chair,21
Corozal,chair,5
Corozal,chair,55
Corozal,chair,59
Corozal,couch,11
Corozal,couch,14
Corozal,couch,18
Corozal,couch,2
Corozal,couch,7
Corozal,potted plant,10
Corozal,potted plant,12
Corozal,potted plant,17
Corozal,potted plant,20
Corozal,potted plant,8
Corozal,toilet,19
Corozal,toilet,23
Corozal,toilet,26
Corozal,toilet,3
Corozal,toilet,6
Corozal,tv,1
Corozal,tv,28
Corozal,tv,29
Corozal,tv,4
Corozal,tv,9
Darden,bed,0
Darden,bed,1
Darden,bed,10
Darden,bed,23
Darden,bed,8
Darden,chair,12
Darden,chair,2
Darden,chair,20
Darden,chair,3
Darden,chair,50
Darden,couch,13
Darden,couch,17
Darden,couch,21
Darden,couch,27
Darden,couch,6
Darden,potted plant,16
Darden,potted plant,19
Darden,potted plant,24
Darden,potted plant,26
Darden,potted plant,7
Darden,toilet,11
Darden,toilet,14
Darden,toilet,4
Darden,toilet,5
Darden,toilet,9
Markleeville,bed,0
Markleeville,bed,1
Markleeville,bed,10
Markleeville,bed,23
Markleeville,bed,8
Markleeville,chair,12
Markleeville,chair,2
Markleeville,chair,20
Markleeville,chair,3
Markleeville,chair,50
Markleeville,couch,13
Markleeville,couch,17
Markleeville,couch,21
Markleeville,couch,27
Markleeville,couch,6
Markleeville,potted plant,16
Markleeville,potted plant,19
Markleeville,potted plant,24
Markleeville,potted plant,26
Markleeville,potted plant,7
Markleeville,toilet,11
Markleeville,toilet,14
Markleeville,toilet,4
Markleeville,toilet,5
Markleeville,toilet,9
Wiconisco,chair,17
Wiconisco,chair,18
Wiconisco,chair,4
Wiconisco,chair,6
Wiconisco,chair,7
Wiconisco,couch,10
Wiconisco,couch,2
Wiconisco,couch,3
Wiconisco,couch,5
Wiconisco,couch,8
Wiconisco,potted plant,1
Wiconisco,potted plant,11
Wiconisco,potted plant,13
Wiconisco,potted plant,19
Wiconisco,potted plant,9
Wiconisco,toilet,0
Wiconisco,toilet,14
Wiconisco,toilet,16
Wiconisco,toilet,20
Wiconisco,toilet,22
